Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a private company,Is a research institution,"Is a medical center (e.g., hospital or clinic)"
INGENIOUZ,[Not Available],[Not Available],"Ingeniouz is an innovation and technology company dedicated to developing cutting-edge solutions and products in various fields, including biotechnology, IT, and industrial technologies.",[Not Available],Technology / Innovation,No,Yes,Yes,No
INGENZA LTD,https://www.ingenza.com/,"Edinburgh, United Kingdom","Ingenza Ltd is a biotechnology company that specializes in synthetic biology and enzyme technology, offering innovative solutions for industrial biotechnology and pharmaceutical applications.",2002,Biotechnology / Synthetic Biology,No,Yes,Yes,No
INHALIO INC,[Not Available],[Not Available],"Inhalio Inc. is a company focused on developing inhalation-based drug delivery systems and technologies, aiming to improve the efficacy and patient experience of respiratory therapies.",[Not Available],Biotechnology / Drug Delivery,No,Yes,Yes,No
INHALON BIOPHARMA INC,https://www.inhalon.com/,"Durham, North Carolina, United States","Inhalon Biopharma Inc. is a biotechnology company developing innovative inhaled therapies for respiratory and other diseases, utilizing its proprietary technology to enhance drug delivery and efficacy.",2014,Biotechnology / Respiratory Therapies,No,Yes,Yes,No
INHIBIKASE THERAPEUTICS INC,https://www.inhibikase.com/,"Atlanta, Georgia, United States","Inhibikase Therapeutics Inc. is a biotechnology company focused on developing therapies for neurodegenerative diseases and cancer, utilizing its proprietary small molecule inhibitors to target disease pathways.",2008,Biotechnology / Therapeutics,No,Yes,Yes,No
INHIBIT COATINGS LTD,[Not Available],[Not Available],Inhibit Coatings Ltd specializes in the development of advanced coatings and surface treatments designed to inhibit microbial growth and improve surface hygiene in various industries.,[Not Available],Coatings / Surface Treatment,No,Yes,Yes,No
INIPHARM INC,[Not Available],[Not Available],"Inipharm Inc. is a pharmaceutical company focused on the development of innovative drug formulations and therapies, with a particular emphasis on advanced drug delivery systems and therapeutic agents.",[Not Available],Pharmaceuticals,No,Yes,Yes,No
INIS BIOTECH LLC,[Not Available],[Not Available],"Inis Biotech LLC is a biotechnology company dedicated to the development of novel biopharmaceuticals and diagnostic tools, focusing on innovative approaches to treating complex diseases.",[Not Available],Biotechnology / Biopharmaceuticals,No,Yes,Yes,No
INITIATEC KK,[Not Available],"Tokyo, Japan","INITIATEC KK is a technology company specializing in developing and providing solutions in biotechnology and medical devices, including innovative diagnostic and therapeutic technologies.",[Not Available],Biotechnology / Medical Devices,No,Yes,Yes,No
INITRILE INC,[Not Available],[Not Available],"Initrile Inc. is a company focused on developing advanced materials and technologies, particularly in the field of synthetic polymers and their applications in various industrial and medical sectors.",[Not Available],Materials Science / Polymers,No,Yes,Yes,No
INMEDIX INC,[Not Available],[Not Available],"Inmedix Inc. is a healthcare technology company specializing in developing diagnostic and therapeutic solutions, including innovative medical devices and software platforms for patient management.",[Not Available],Healthcare / Medical Devices,No,Yes,Yes,No
INNATE CELL THERAPY INC,[Not Available],[Not Available],Innate Cell Therapy Inc. is a biotechnology company focused on developing cell-based therapies and treatments utilizing the body's own immune cells to combat various diseases and conditions.,[Not Available],Biotechnology / Cell Therapy,No,Yes,Yes,No
INNER MONGOLIA AUTONOMOUS REGION,[Not Available],"Hohhot, Inner Mongolia, China","Inner Mongolia Autonomous Region is a provincial-level autonomous region in northern China, known for its diverse culture, natural resources, and economic development initiatives.",[Not Available],Government / Regional Administration,Yes,No,No,No
INNER MONGOLIA BAOGANG HOSPITAL,[Not Available],"Baotou, Inner Mongolia, China","Inner Mongolia Baogang Hospital is a medical institution providing healthcare services, including diagnostic, therapeutic, and surgical treatments, to the local population in the Inner Mongolia region.",[Not Available],Healthcare / Hospital,No,No,No,Yes
INNER MONGOLIA COMPOSITE MATERIALS IND,[Not Available],[Not Available],"Inner Mongolia Composite Materials Industry focuses on the production and development of advanced composite materials for various industrial applications, including construction, automotive, and aerospace sectors.",[Not Available],Materials / Composite Materials,No,Yes,No,No
INNER MONGOLIA INNO BIOTECHNOLOGY CO LTD,[Not Available],[Not Available],"Inner Mongolia Inno Biotechnology Co. Ltd specializes in biotechnology research and development, focusing on innovative solutions for healthcare and agricultural applications.",[Not Available],Biotechnology,No,Yes,Yes,No
INNER MONGOLIA INT MONGOLIAN HOSPITAL,[Not Available],"Hohhot, Inner Mongolia, China","Inner Mongolia International Mongolian Hospital provides comprehensive healthcare services, including diagnostics, treatment, and specialized care to the local and international community.",[Not Available],Healthcare / Hospital,No,No,No,Yes
INNER MONGOLIA KINGDEER CASHMERE GROUP C,[Not Available],[Not Available],"Inner Mongolia Kingdeer Cashmere Group Co. focuses on the production and processing of high-quality cashmere products, including clothing and textiles, leveraging the region's resources and expertise.",[Not Available],Textiles / Cashmere,No,Yes,No,No
INNER MONGOLIA XINSHUN TECHNOLOGY DEV CO LTD,[Not Available],[Not Available],"Inner Mongolia Xinshun Technology Development Co. Ltd specializes in technology development and innovation, focusing on advanced technology solutions and applications in various industries.",[Not Available],Technology Development,No,Yes,Yes,No
INNOCELLGENE CO LTD,[Not Available],[Not Available],"InnocellGene Co. Ltd is a biotechnology company focusing on developing advanced genetic and genomic solutions, including diagnostic tools and therapeutic applications.",[Not Available],Biotechnology / Genetics,No,Yes,Yes,No
INNOCLE CO LTD,[Not Available],[Not Available],"Innocle Co. Ltd specializes in developing and manufacturing advanced diagnostic tools and medical devices, focusing on innovative solutions for healthcare and disease management.",[Not Available],Medical Devices / Diagnostics,No,Yes,Yes,No
INNODX SOLUTIONS PRIVATE LTD,[Not Available],[Not Available],"Innodx Solutions Private Ltd provides innovative diagnostic solutions and technologies for healthcare, focusing on advanced analytical tools and diagnostic assays for disease detection and management.",[Not Available],Diagnostics,No,Yes,Yes,No
INNOLIFE MEKATRONIK MUEHENDISLIK & DANIS,[Not Available],[Not Available],"Innolife Mekatronik MÃ¼hendislik & DanÄ±ÅmanlÄ±k focuses on mechatronics engineering and consulting, providing advanced engineering solutions and services for various industrial applications.",[Not Available],Engineering / Mechatronics,No,Yes,No,No
INNOMEDICA HOLDING AG,[Not Available],[Not Available],"InnoMedica Holding AG is involved in the development and management of innovative medical technologies and healthcare solutions, focusing on advancing medical devices and therapeutic products.",[Not Available],Medical Technologies,No,Yes,Yes,No
INNOPHARMASCREEN INC,[Not Available],[Not Available],"InnoPharmaScreen Inc. specializes in pharmaceutical screening technologies, focusing on drug discovery and development through advanced screening and assay technologies.",[Not Available],Pharmaceuticals / Drug Discovery,No,Yes,Yes,No
INNOPLEXUS AG,https://www.innoplexus.com/,"Frankfurt, Germany","Innoplexus AG provides AI-driven solutions for drug discovery and development, leveraging advanced analytics and data integration to accelerate pharmaceutical and biotechnology research.",2011,Biotechnology / Artificial Intelligence,No,Yes,Yes,No
INNOSIGN BV,[Not Available],[Not Available],"Innosign BV is involved in providing innovative solutions for clinical trials and diagnostic services, focusing on advanced technologies and methodologies for medical research.",[Not Available],Clinical Trials / Diagnostics,No,Yes,Yes,No
INNOTECH PRECISION MEDICINE INC,[Not Available],[Not Available],"Innotech Precision Medicine Inc. focuses on developing personalized medicine solutions, using advanced technologies to tailor treatments based on individual patient profiles and genetic information.",[Not Available],Precision Medicine,No,Yes,Yes,No
INNOVA PLUS LLC,[Not Available],[Not Available],"Innova Plus LLC is dedicated to providing innovative solutions and technologies in various fields, including healthcare, biotechnology, and industrial applications.",[Not Available],Technology / Innovation,No,Yes,Yes,No
INNOVAC,[Not Available],[Not Available],"Innovac focuses on technological innovation and development, offering solutions across various sectors including healthcare, engineering, and industrial technology.",[Not Available],Technology / Innovation,No,Yes,Yes,No
INNOVACIONES TECNICAS EN TRANSFORMACION,[Not Available],[Not Available],"Innovaciones TÃ©cnicas en TransformaciÃ³n specializes in providing technical innovations and solutions for industrial processes and technological advancements, focusing on transformation technologies.",[Not Available],Technology / Industrial Solutions,No,Yes,Yes,No
INNOVATE ITAL GROUP SRL,[Not Available],[Not Available],"Innovate Ital Group SRL focuses on delivering innovative solutions and consulting services across various industries, including technology and healthcare sectors.",[Not Available],Technology / Consulting,No,Yes,Yes,No
INNOVATION PHARM INC,[Not Available],[Not Available],"Innovation Pharm Inc. is involved in the development and commercialization of pharmaceutical products, focusing on innovative drug therapies and advanced medical treatments.",[Not Available],Pharmaceuticals,No,Yes,Yes,No
INNOVATION SUCCESS LLC,[Not Available],[Not Available],"Innovation Success LLC provides consulting and development services aimed at fostering innovation and success in various business sectors, including technology and healthcare.",[Not Available],Consulting / Innovation,No,Yes,No,No
INNOVATIVE EMERGENCY MANAGEMENT INC,[Not Available],[Not Available],"Innovative Emergency Management Inc. focuses on providing solutions and services for emergency preparedness, response, and recovery, utilizing advanced technologies and strategies for disaster management.",[Not Available],Emergency Management,No,Yes,No,No
